id,source,airline,origin,destination,travel_date,search_datetime,fare_price,created_at,route,search_date
66,TripEase,SpiceJet,BOM,BLR,2026-08-18,2026-08-11 16:03:00,4183.61,2026-09-09 12:37:29,BOM-BLR,2026-08-11
67,SkyFareHub,Vistara,BOM,BLR,2026-08-18,2026-08-11 22:10:00,4911.81,2026-09-09 12:37:29,BOM-BLR,2026-08-11
68,TripEase,Vistara,BOM,BLR,2026-08-18,2026-08-11 11:04:00,4924.06,2026-09-09 12:37:29,BOM-BLR,2026-08-11
69,SkyFareHub,Akasa Air,BOM,BLR,2026-08-18,2026-08-11 13:25:00,4381.86,2026-09-09 12:37:29,BOM-BLR,2026-08-11
70,TripEase,Akasa Air,BOM,BLR,2026-08-18,2026-08-11 13:37:00,4273.8,2026-09-09 12:37:29,BOM-BLR,2026-08-11
71,SkyFareHub,IndiGo,BOM,BLR,2026-08-25,2026-08-11 19:42:00,4438.4,2026-09-09 12:37:29,BOM-BLR,2026-08-11
72,TripEase,IndiGo,BOM,BLR,2026-08-25,2026-08-11 14:13:00,4409.26,2026-09-09 12:37:29,BOM-BLR,2026-08-11
73,SkyFareHub,Air India,BOM,BLR,2026-08-25,2026-08-11 14:25:00,4735.39,2026-09-09 12:37:29,BOM-BLR,2026-08-11
74,TripEase,Air India,BOM,BLR,2026-08-25,2026-08-11 20:20:00,4625.66,2026-09-09 12:37:29,BOM-BLR,2026-08-11
75,SkyFareHub,SpiceJet,BOM,BLR,2026-08-25,2026-08-11 06:29:00,4406.55,2026-09-09 12:37:29,BOM-BLR,2026-08-11
76,TripEase,SpiceJet,BOM,BLR,2026-08-25,2026-08-11 09:04:00,4211.28,2026-09-09 12:37:29,BOM-BLR,2026-08-11
77,SkyFareHub,Vistara,BOM,BLR,2026-08-25,2026-08-11 10:59:00,5047.02,2026-09-09 12:37:29,BOM-BLR,2026-08-11
78,TripEase,Vistara,BOM,BLR,2026-08-25,2026-08-11 13:23:00,4839.2,2026-09-09 12:37:29,BOM-BLR,2026-08-11
79,SkyFareHub,Akasa Air,BOM,BLR,2026-08-25,2026-08-11 15:39:00,4154.06,2026-09-09 12:37:29,BOM-BLR,2026-08-11
80,TripEase,Akasa Air,BOM,BLR,2026-08-25,2026-08-11 22:00:00,4485.19,2026-09-09 12:37:29,BOM-BLR,2026-08-11
81,SkyFareHub,IndiGo,BOM,BLR,2026-09-10,2026-08-11 09:56:00,4300.66,2026-09-09 12:37:29,BOM-BLR,2026-08-11
82,TripEase,IndiGo,BOM,BLR,2026-09-10,2026-08-11 09:47:00,4008.64,2026-09-09 12:37:29,BOM-BLR,2026-08-11
83,SkyFareHub,Air India,BOM,BLR,2026-09-10,2026-08-11 12:45:00,4525.45,2026-09-09 12:37:29,BOM-BLR,2026-08-11
84,TripEase,Air India,BOM,BLR,2026-09-10,2026-08-11 14:32:00,4562.37,2026-09-09 12:37:29,BOM-BLR,2026-08-11
85,SkyFareHub,SpiceJet,BOM,BLR,2026-09-10,2026-08-11 07:05:00,4112.54,2026-09-09 12:37:29,BOM-BLR,2026-08-11
86,TripEase,SpiceJet,BOM,BLR,2026-09-10,2026-08-11 07:00:00,4141.08,2026-09-09 12:37:29,BOM-BLR,2026-08-11
87,SkyFareHub,Vistara,BOM,BLR,2026-09-10,2026-08-11 14:10:00,4691.97,2026-09-09 12:37:29,BOM-BLR,2026-08-11
88,TripEase,Vistara,BOM,BLR,2026-09-10,2026-08-11 19:35:00,4973.46,2026-09-09 12:37:29,BOM-BLR,2026-08-11
89,SkyFareHub,Akasa Air,BOM,BLR,2026-09-10,2026-08-11 10:34:00,3837.58,2026-09-09 12:37:29,BOM-BLR,2026-08-11
90,TripEase,Akasa Air,BOM,BLR,2026-09-10,2026-08-11 10:27:00,3918.6,2026-09-09 12:37:29,BOM-BLR,2026-08-11
91,SkyFareHub,IndiGo,DEL,MAA,2026-08-18,2026-08-11 07:57:00,6144.25,2026-09-09 12:37:29,DEL-MAA,2026-08-11
92,TripEase,IndiGo,DEL,MAA,2026-08-18,2026-08-11 09:22:00,6406.11,2026-09-09 12:37:29,DEL-MAA,2026-08-11
93,SkyFareHub,Air India,DEL,MAA,2026-08-18,2026-08-11 19:39:00,7236.36,2026-09-09 12:37:29,DEL-MAA,2026-08-11
94,TripEase,Air India,DEL,MAA,2026-08-18,2026-08-11 13:55:00,7236.69,2026-09-09 12:37:29,DEL-MAA,2026-08-11
95,SkyFareHub,SpiceJet,DEL,MAA,2026-08-18,2026-08-11 11:56:00,6033.71,2026-09-09 12:37:29,DEL-MAA,2026-08-11
96,TripEase,SpiceJet,DEL,MAA,2026-08-18,2026-08-11 16:50:00,5928.7,2026-09-09 12:37:29,DEL-MAA,2026-08-11
97,SkyFareHub,Vistara,DEL,MAA,2026-08-18,2026-08-11 13:17:00,7758.03,2026-09-09 12:37:29,DEL-MAA,2026-08-11
98,TripEase,Vistara,DEL,MAA,2026-08-18,2026-08-11 18:55:00,7258.41,2026-09-09 12:37:29,DEL-MAA,2026-08-11
99,SkyFareHub,Akasa Air,DEL,MAA,2026-08-18,2026-08-11 12:52:00,5976.39,2026-09-09 12:37:29,DEL-MAA,2026-08-11
100,TripEase,Akasa Air,DEL,MAA,2026-08-18,2026-08-11 13:14:00,6368.76,2026-09-09 12:37:29,DEL-MAA,2026-08-11
101,SkyFareHub,IndiGo,DEL,MAA,2026-08-25,2026-08-11 16:17:00,5960.91,2026-09-09 12:37:29,DEL-MAA,2026-08-11
102,TripEase,IndiGo,DEL,MAA,2026-08-25,2026-08-11 14:22:00,6679.15,2026-09-09 12:37:29,DEL-MAA,2026-08-11
103,SkyFareHub,Air India,DEL,MAA,2026-08-25,2026-08-11 16:01:00,6859.6,2026-09-09 12:37:29,DEL-MAA,2026-08-11
104,TripEase,Air India,DEL,MAA,2026-08-25,2026-08-11 11:37:00,6806.05,2026-09-09 12:37:29,DEL-MAA,2026-08-11
105,SkyFareHub,SpiceJet,DEL,MAA,2026-08-25,2026-08-11 09:38:00,6139.73,2026-09-09 12:37:29,DEL-MAA,2026-08-11
106,TripEase,SpiceJet,DEL,MAA,2026-08-25,2026-08-11 16:27:00,6052.98,2026-09-09 12:37:29,DEL-MAA,2026-08-11
107,SkyFareHub,Vistara,DEL,MAA,2026-08-25,2026-08-11 18:57:00,7332.41,2026-09-09 12:37:29,DEL-MAA,2026-08-11
108,TripEase,Vistara,DEL,MAA,2026-08-25,2026-08-11 19:00:00,7203.29,2026-09-09 12:37:29,DEL-MAA,2026-08-11
109,SkyFareHub,Akasa Air,DEL,MAA,2026-08-25,2026-08-11 12:23:00,6250.93,2026-09-09 12:37:29,DEL-MAA,2026-08-11
110,TripEase,Akasa Air,DEL,MAA,2026-08-25,2026-08-11 16:39:00,6259.83,2026-09-09 12:37:29,DEL-MAA,2026-08-11
111,SkyFareHub,IndiGo,DEL,MAA,2026-09-10,2026-08-11 15:32:00,6146.62,2026-09-09 12:37:29,DEL-MAA,2026-08-11
112,TripEase,IndiGo,DEL,MAA,2026-09-10,2026-08-11 18:44:00,5983.2,2026-09-09 12:37:29,DEL-MAA,2026-08-11
113,SkyFareHub,Air India,DEL,MAA,2026-09-10,2026-08-11 19:42:00,6343.36,2026-09-09 12:37:29,DEL-MAA,2026-08-11
114,TripEase,Air India,DEL,MAA,2026-09-10,2026-08-11 11:39:00,6901.47,2026-09-09 12:37:29,DEL-MAA,2026-08-11
115,SkyFareHub,SpiceJet,DEL,MAA,2026-09-10,2026-08-11 06:19:00,5803.88,2026-09-09 12:37:29,DEL-MAA,2026-08-11
116,TripEase,SpiceJet,DEL,MAA,2026-09-10,2026-08-11 16:29:00,5681.13,2026-09-09 12:37:29,DEL-MAA,2026-08-11
117,SkyFareHub,Vistara,DEL,MAA,2026-09-10,2026-08-11 22:30:00,7067.82,2026-09-09 12:37:29,DEL-MAA,2026-08-11
118,TripEase,Vistara,DEL,MAA,2026-09-10,2026-08-11 11:42:00,7385.48,2026-09-09 12:37:29,DEL-MAA,2026-08-11
119,SkyFareHub,Akasa Air,DEL,MAA,2026-09-10,2026-08-11 16:05:00,5735.33,2026-09-09 12:37:29,DEL-MAA,2026-08-11
120,TripEase,Akasa Air,DEL,MAA,2026-09-10,2026-08-11 15:14:00,6166.98,2026-09-09 12:37:29,DEL-MAA,2026-08-11
121,SkyFareHub,IndiGo,BOM,MAA,2026-08-18,2026-08-11 07:15:00,5738.05,2026-09-09 12:37:29,BOM-MAA,2026-08-11
122,TripEase,IndiGo,BOM,MAA,2026-08-18,2026-08-11 08:29:00,5978.38,2026-09-09 12:37:29,BOM-MAA,2026-08-11
123,SkyFareHub,Air India,BOM,MAA,2026-08-18,2026-08-11 12:45:00,6182.12,2026-09-09 12:37:29,BOM-MAA,2026-08-11
124,TripEase,Air India,BOM,MAA,2026-08-18,2026-08-11 13:09:00,6271.24,2026-09-09 12:37:29,BOM-MAA,2026-08-11
125,SkyFareHub,SpiceJet,BOM,MAA,2026-08-18,2026-08-11 09:49:00,5339.51,2026-09-09 12:37:29,BOM-MAA,2026-08-11
126,TripEase,SpiceJet,BOM,MAA,2026-08-18,2026-08-11 22:29:00,5294.67,2026-09-09 12:37:29,BOM-MAA,2026-08-11
127,SkyFareHub,Vistara,BOM,MAA,2026-08-18,2026-08-11 09:29:00,6241.01,2026-09-09 12:37:29,BOM-MAA,2026-08-11
128,TripEase,Vistara,BOM,MAA,2026-08-18,2026-08-11 22:35:00,6369.76,2026-09-09 12:37:29,BOM-MAA,2026-08-11
129,SkyFareHub,Akasa Air,BOM,MAA,2026-08-18,2026-08-11 20:39:00,5739.38,2026-09-09 12:37:29,BOM-MAA,2026-08-11
130,TripEase,Akasa Air,BOM,MAA,2026-08-18,2026-08-11 19:53:00,5817.51,2026-09-09 12:37:29,BOM-MAA,2026-08-11
131,SkyFareHub,IndiGo,BOM,MAA,2026-08-25,2026-08-11 11:47:00,5802.8,2026-09-09 12:37:29,BOM-MAA,2026-08-11
132,TripEase,IndiGo,BOM,MAA,2026-08-25,2026-08-11 13:53:00,5783.75,2026-09-09 12:37:29,BOM-MAA,2026-08-11
133,SkyFareHub,Air India,BOM,MAA,2026-08-25,2026-08-11 22:31:00,6252.77,2026-09-09 12:37:29,BOM-MAA,2026-08-11
134,TripEase,Air India,BOM,MAA,2026-08-25,2026-08-11 08:45:00,6068.0,2026-09-09 12:37:29,BOM-MAA,2026-08-11
135,SkyFareHub,SpiceJet,BOM,MAA,2026-08-25,2026-08-11 16:57:00,5190.56,2026-09-09 12:37:29,BOM-MAA,2026-08-11
136,TripEase,SpiceJet,BOM,MAA,2026-08-25,2026-08-11 13:24:00,5256.72,2026-09-09 12:37:29,BOM-MAA,2026-08-11
137,SkyFareHub,Vistara,BOM,MAA,2026-08-25,2026-08-11 08:26:00,6664.13,2026-09-09 12:37:29,BOM-MAA,2026-08-11
138,TripEase,Vistara,BOM,MAA,2026-08-25,2026-08-11 19:03:00,6451.89,2026-09-09 12:37:29,BOM-MAA,2026-08-11
139,SkyFareHub,Akasa Air,BOM,MAA,2026-08-25,2026-08-11 06:54:00,5314.02,2026-09-09 12:37:29,BOM-MAA,2026-08-11
140,TripEase,Akasa Air,BOM,MAA,2026-08-25,2026-08-11 21:00:00,5659.84,2026-09-09 12:37:29,BOM-MAA,2026-08-11
141,SkyFareHub,IndiGo,BOM,MAA,2026-09-10,2026-08-11 18:54:00,5579.23,2026-09-09 12:37:29,BOM-MAA,2026-08-11
142,TripEase,IndiGo,BOM,MAA,2026-09-10,2026-08-11 13:31:00,5732.64,2026-09-09 12:37:29,BOM-MAA,2026-08-11
143,SkyFareHub,Air India,BOM,MAA,2026-09-10,2026-08-11 06:24:00,5733.32,2026-09-09 12:37:29,BOM-MAA,2026-08-11
144,TripEase,Air India,BOM,MAA,2026-09-10,2026-08-11 18:46:00,5874.26,2026-09-09 12:37:29,BOM-MAA,2026-08-11
145,SkyFareHub,SpiceJet,BOM,MAA,2026-09-10,2026-08-11 10:39:00,5030.48,2026-09-09 12:37:29,BOM-MAA,2026-08-11
146,TripEase,SpiceJet,BOM,MAA,2026-09-10,2026-08-11 06:05:00,5320.0,2026-09-09 12:37:29,BOM-MAA,2026-08-11
147,SkyFareHub,Vistara,BOM,MAA,2026-09-10,2026-08-11 20:11:00,6204.36,2026-09-09 12:37:29,BOM-MAA,2026-08-11
148,TripEase,Vistara,BOM,MAA,2026-09-10,2026-08-11 12:29:00,5998.75,2026-09-09 12:37:29,BOM-MAA,2026-08-11
149,SkyFareHub,Akasa Air,BOM,MAA,2026-09-10,2026-08-11 18:17:00,5298.07,2026-09-09 12:37:29,BOM-MAA,2026-08-11
150,TripEase,Akasa Air,BOM,MAA,2026-09-10,2026-08-11 14:53:00,5500.38,2026-09-09 12:37:29,BOM-MAA,2026-08-11
151,SkyFareHub,IndiGo,DEL,CCU,2026-08-18,2026-08-11 07:22:00,5732.44,2026-09-09 12:37:29,DEL-CCU,2026-08-11
152,TripEase,IndiGo,DEL,CCU,2026-08-18,2026-08-11 07:48:00,5820.1,2026-09-09 12:37:29,DEL-CCU,2026-08-11
153,SkyFareHub,Air India,DEL,CCU,2026-08-18,2026-08-11 06:39:00,6254.45,2026-09-09 12:37:29,DEL-CCU,2026-08-11
154,TripEase,Air India,DEL,CCU,2026-08-18,2026-08-11 09:36:00,6270.58,2026-09-09 12:37:29,DEL-CCU,2026-08-11
155,SkyFareHub,SpiceJet,DEL,CCU,2026-08-18,2026-08-11 14:49:00,6003.39,2026-09-09 12:37:29,DEL-CCU,2026-08-11
156,TripEase,SpiceJet,DEL,CCU,2026-08-18,2026-08-11 09:49:00,5783.53,2026-09-09 12:37:29,DEL-CCU,2026-08-11
157,SkyFareHub,Vistara,DEL,CCU,2026-08-18,2026-08-11 09:37:00,7405.78,2026-09-09 12:37:29,DEL-CCU,2026-08-11
158,TripEase,Vistara,DEL,CCU,2026-08-18,2026-08-11 18:25:00,6684.1,2026-09-09 12:37:29,DEL-CCU,2026-08-11
159,SkyFareHub,Akasa Air,DEL,CCU,2026-08-18,2026-08-11 13:06:00,6031.9,2026-09-09 12:37:29,DEL-CCU,2026-08-11
160,TripEase,Akasa Air,DEL,CCU,2026-08-18,2026-08-11 09:50:00,5952.75,2026-09-09 12:37:29,DEL-CCU,2026-08-11
161,SkyFareHub,IndiGo,DEL,CCU,2026-08-25,2026-08-11 17:34:00,6361.86,2026-09-09 12:37:29,DEL-CCU,2026-08-11
162,TripEase,IndiGo,DEL,CCU,2026-08-25,2026-08-11 22:41:00,5945.07,2026-09-09 12:37:29,DEL-CCU,2026-08-11
163,SkyFareHub,Air India,DEL,CCU,2026-08-25,2026-08-11 21:06:00,6562.36,2026-09-09 12:37:29,DEL-CCU,2026-08-11
164,TripEase,Air India,DEL,CCU,2026-08-25,2026-08-11 20:45:00,6420.08,2026-09-09 12:37:29,DEL-CCU,2026-08-11
165,SkyFareHub,SpiceJet,DEL,CCU,2026-08-25,2026-08-11 22:41:00,5454.9,2026-09-09 12:37:29,DEL-CCU,2026-08-11
166,TripEase,SpiceJet,DEL,CCU,2026-08-25,2026-08-11 21:29:00,5725.64,2026-09-09 12:37:29,DEL-CCU,2026-08-11
167,SkyFareHub,Vistara,DEL,CCU,2026-08-25,2026-08-11 14:20:00,6990.71,2026-09-09 12:37:29,DEL-CCU,2026-08-11
168,TripEase,Vistara,DEL,CCU,2026-08-25,2026-08-11 08:17:00,7262.89,2026-09-09 12:37:29,DEL-CCU,2026-08-11
169,SkyFareHub,Akasa Air,DEL,CCU,2026-08-25,2026-08-11 20:36:00,5934.24,2026-09-09 12:37:29,DEL-CCU,2026-08-11
170,TripEase,Akasa Air,DEL,CCU,2026-08-25,2026-08-11 06:31:00,5854.76,2026-09-09 12:37:29,DEL-CCU,2026-08-11
171,SkyFareHub,IndiGo,DEL,CCU,2026-09-10,2026-08-11 12:22:00,5880.37,2026-09-09 12:37:29,DEL-CCU,2026-08-11
172,TripEase,IndiGo,DEL,CCU,2026-09-10,2026-08-11 14:35:00,5911.03,2026-09-09 12:37:29,DEL-CCU,2026-08-11
173,SkyFareHub,Air India,DEL,CCU,2026-09-10,2026-08-11 08:15:00,6216.79,2026-09-09 12:37:29,DEL-CCU,2026-08-11
174,TripEase,Air India,DEL,CCU,2026-09-10,2026-08-11 13:44:00,6400.74,2026-09-09 12:37:29,DEL-CCU,2026-08-11
175,SkyFareHub,SpiceJet,DEL,CCU,2026-09-10,2026-08-11 20:50:00,5596.38,2026-09-09 12:37:29,DEL-CCU,2026-08-11
176,TripEase,SpiceJet,DEL,CCU,2026-09-10,2026-08-11 18:44:00,5254.42,2026-09-09 12:37:29,DEL-CCU,2026-08-11
177,SkyFareHub,Vistara,DEL,CCU,2026-09-10,2026-08-11 17:30:00,6630.5,2026-09-09 12:37:29,DEL-CCU,2026-08-11
178,TripEase,Vistara,DEL,CCU,2026-09-10,2026-08-11 16:22:00,6668.04,2026-09-09 12:37:29,DEL-CCU,2026-08-11
179,SkyFareHub,Akasa Air,DEL,CCU,2026-09-10,2026-08-11 14:14:00,5667.2,2026-09-09 12:37:29,DEL-CCU,2026-08-11
180,TripEase,Akasa Air,DEL,CCU,2026-09-10,2026-08-11 09:47:00,5377.33,2026-09-09 12:37:29,DEL-CCU,2026-08-11
181,SkyFareHub,IndiGo,BLR,HYD,2026-08-18,2026-08-11 11:12:00,3816.49,2026-09-09 12:37:29,BLR-HYD,2026-08-11
182,TripEase,IndiGo,BLR,HYD,2026-08-18,2026-08-11 22:38:00,3658.24,2026-09-09 12:37:29,BLR-HYD,2026-08-11
183,SkyFareHub,Air India,BLR,HYD,2026-08-18,2026-08-11 12:18:00,3879.31,2026-09-09 12:37:29,BLR-HYD,2026-08-11
184,TripEase,Air India,BLR,HYD,2026-08-18,2026-08-11 06:45:00,3880.49,2026-09-09 12:37:29,BLR-HYD,2026-08-11
